species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Xenoglaux loweryi,-5.734964,-77.946,2022-01-18,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-01-11,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729603,-77.96277,2022-01-30,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.793236,-77.79476,2022-01-29,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.788918,-77.805916,2022-01-29,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.734964,-77.946,2022-01-18,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-01-11,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2022-01-19,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.779675,-77.8632,2022-01-28,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.733071,-77.95259,2022-01-06,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-01-11,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-02-14,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-02-09,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-02-09,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-02-09,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-02-09,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-02-09,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2022-02-01,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729494,-77.96291,2022-02-06,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2022-02-13,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-03-15,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.782428,-77.669441,2022-04-04T04:45Z,2022,HUMAN_OBSERVATION,31373.0
Xenoglaux loweryi,-5.731119,-77.95509,2022-04-04,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-04-04,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729832,-77.96327,2022-04-25,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.731119,-77.95509,2022-04-04,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-04-04,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-05-14,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-05-14,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.731119,-77.95509,2022-05-16,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-05-14,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.730227,-77.964584,2022-05-01,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.731119,-77.95509,2022-05-16,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.730227,-77.964584,2022-05-01,2022,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2022-05-14,2022,HUMAN_OBSERVATION,
